Date,Asset,Price
2020-01-02,AAPL,72.46826934814453
2020-01-03,AAPL,71.76372528076172
2020-01-06,AAPL,72.33554077148438
2020-01-07,AAPL,71.99536895751953
2020-01-08,AAPL,73.15350341796875
2020-01-09,AAPL,74.70734405517578
2020-01-10,AAPL,74.876220703125
2020-01-13,AAPL,76.47592163085938
2020-01-14,AAPL,75.4432373046875
2020-01-15,AAPL,75.11992645263672
2020-01-16,AAPL,76.06089782714844
2020-01-17,AAPL,76.90296173095703
2020-01-21,AAPL,76.38180541992188
2020-01-22,AAPL,76.65447235107422
2020-01-23,AAPL,77.02363586425781
2020-01-24,AAPL,76.8016357421875
2020-01-27,AAPL,74.54328155517578
2020-01-28,AAPL,76.65203094482422
2020-01-29,AAPL,78.25655364990234
2020-01-30,AAPL,78.14314270019531
2020-01-31,AAPL,74.67838287353516
2020-02-03,AAPL,74.47329711914062
2020-02-04,AAPL,76.9319076538086
2020-02-05,AAPL,77.55924987792969
2020-02-06,AAPL,78.46646881103516
2020-02-07,AAPL,77.39989471435547
2020-02-10,AAPL,77.76752471923828
2020-02-11,AAPL,77.29833221435547
2020-02-12,AAPL,79.13397216796875
2020-02-13,AAPL,78.57046508789062
2020-02-14,AAPL,78.5898208618164
2020-02-18,AAPL,77.1507797241211
2020-02-19,AAPL,78.26815032958984
2020-02-20,AAPL,77.46517181396484
2020-02-21,AAPL,75.71176147460938
2020-02-24,AAPL,72.11543273925781
2020-02-25,AAPL,69.67272186279297
2020-02-26,AAPL,70.77798461914062
2020-02-27,AAPL,66.15137481689453
2020-02-28,AAPL,66.11267852783203
2020-03-02,AAPL,72.2677993774414
2020-03-03,AAPL,69.97264099121094
2020-03-04,AAPL,73.21826934814453
2020-03-05,AAPL,70.8432846069336
2020-03-06,AAPL,69.90250396728516
2020-03-09,AAPL,64.3737564086914
2020-03-10,AAPL,69.01004791259766
2020-03-11,AAPL,66.61328125
2020-03-12,AAPL,60.03491973876953
2020-03-13,AAPL,67.22760772705078
2020-03-16,AAPL,58.57897186279297
2020-03-17,AAPL,61.154701232910156
2020-03-18,AAPL,59.65763473510742
2020-03-19,AAPL,59.20053482055664
2020-03-20,AAPL,55.44214630126953
2020-03-23,AAPL,54.26433181762695
2020-03-24,AAPL,59.70842742919922
2020-03-25,AAPL,59.37950134277344
2020-03-26,AAPL,62.504234313964844
2020-03-27,AAPL,59.916419982910156
2020-03-30,AAPL,61.62630844116211
2020-03-31,AAPL,61.500545501708984
2020-04-01,AAPL,58.26457214355469
2020-04-02,AAPL,59.23680877685547
2020-04-03,AAPL,58.38549041748047
2020-04-06,AAPL,63.47888946533203
2020-04-07,AAPL,62.74365234375
2020-04-08,AAPL,64.34957885742188
2020-04-09,AAPL,64.81390380859375
2020-04-13,AAPL,66.08607482910156
2020-04-14,AAPL,69.42361450195312
2020-04-15,AAPL,68.78997802734375
2020-04-16,AAPL,69.33654022216797
2020-04-17,AAPL,68.39574432373047
2020-04-20,AAPL,66.97608947753906
2020-04-21,AAPL,64.90581512451172
2020-04-22,AAPL,66.77533721923828
2020-04-23,AAPL,66.51655578613281
2020-04-24,AAPL,68.43685913085938
2020-04-27,AAPL,68.4852294921875
2020-04-28,AAPL,67.3751449584961
2020-04-29,AAPL,69.58809661865234
2020-04-30,AAPL,71.05611419677734
2020-05-01,AAPL,69.91214752197266
2020-05-04,AAPL,70.90132904052734
2020-05-05,AAPL,71.96549224853516
2020-05-06,AAPL,72.70799255371094
2020-05-07,AAPL,73.46012115478516
2020-05-08,AAPL,75.20860290527344
2020-05-11,AAPL,76.39205932617188
2020-05-12,AAPL,75.51901245117188
2020-05-13,AAPL,74.607177734375
2020-05-14,AAPL,75.06550598144531
2020-05-15,AAPL,74.6217269897461
2020-05-18,AAPL,76.3799057006836
2020-05-19,AAPL,75.93853759765625
2020-05-20,AAPL,77.41542053222656
2020-05-21,AAPL,76.8382339477539
2020-05-22,AAPL,77.33296966552734
2020-05-26,AAPL,76.80913543701172
2020-05-27,AAPL,77.14379119873047
2020-05-28,AAPL,77.17774963378906
2020-05-29,AAPL,77.10258483886719
2020-06-01,AAPL,78.0507583618164
2020-06-02,AAPL,78.412109375
2020-06-03,AAPL,78.84378051757812
2020-06-04,AAPL,78.1647720336914
2020-06-05,AAPL,80.3909683227539
2020-06-08,AAPL,80.86627960205078
2020-06-09,AAPL,83.41988372802734
2020-06-10,AAPL,85.5660629272461
2020-06-11,AAPL,81.45801544189453
2020-06-12,AAPL,82.1612548828125
2020-06-15,AAPL,83.17736053466797
2020-06-16,AAPL,85.38174438476562
2020-06-17,AAPL,85.26293182373047
2020-06-18,AAPL,85.29689025878906
2020-06-19,AAPL,84.80944061279297
2020-06-22,AAPL,87.02837371826172
2020-06-23,AAPL,88.88597869873047
2020-06-24,AAPL,87.31695556640625
2020-06-25,AAPL,88.47615051269531
2020-06-26,AAPL,85.75764465332031
2020-06-29,AAPL,87.73406982421875
2020-06-30,AAPL,88.4664306640625
2020-07-01,AAPL,88.29911041259766
2020-07-02,AAPL,88.29911041259766
2020-07-06,AAPL,90.6611099243164
2020-07-07,AAPL,90.37980651855469
2020-07-08,AAPL,92.48478698730469
2020-07-09,AAPL,92.88248443603516
2020-07-10,AAPL,93.04496765136719
2020-07-13,AAPL,92.6157455444336
2020-07-14,AAPL,94.14838409423828
2020-07-15,AAPL,94.79588317871094
2020-07-16,AAPL,93.62940979003906
2020-07-17,AAPL,93.44026184082031
2020-07-20,AAPL,95.409423828125
2020-07-21,AAPL,94.09259796142578
2020-07-22,AAPL,94.35691833496094
2020-07-23,AAPL,90.06214141845703
2020-07-24,AAPL,89.83904266357422
2020-07-27,AAPL,91.9682388305664
2020-07-28,AAPL,90.45741271972656
2020-07-29,AAPL,92.19134521484375
2020-07-30,AAPL,93.30687713623047
2020-07-31,AAPL,103.0750503540039
2020-08-03,AAPL,105.6722640991211
2020-08-04,AAPL,106.37797546386719
2020-08-05,AAPL,106.76356506347656
